comment_id,employee_id,comments,sentiment_score,sentiment_label,rephrased_comments,submission_date,category
C053,MY053,"Legal department tak cukup lawyer. Contract review queue panjang.",0.35,Negative,"The legal department is understaffed. The queue for contract reviews is very long.",2025-11-04,Human Resources
C054,MY054,"Lori 3 tan baru tu sedap bawak. Pickup power.",0.90,Positive,"The new 3-ton lorry handles well and has powerful acceleration.",2025-10-16,Operations & Logistics
C055,MY055,"Tempat rehat rider kat Johor takde kipas. Panas macam sauna.",0.20,Negative,"The rider rest area in Johor has no fans; it is as hot as a sauna.",2025-11-27,Facilities & Maintenance
C056,MY056,"Taman baru tu anjing garang-garang. Dah la takde pagar. Seriau nak hantar surat.",0.30,Negative,"The dogs in that new residential area are aggressive and there are no fences. It's scary delivering letters there.",2025-10-01,Health & Safety
C057,MY057,"Parcel perabot berat-berat ni patut ada surcharge lebih. Sakit urat angkat almari.",0.40,Neutral,"Heavy furniture parcels should carry a surcharge. Lifting wardrobes causes muscle strain.",2025-11-17,Operations & Logistics
C058,MY058,"Kaunter staff uniform smart. Nampak professional depan customer.",0.90,Positive,"The counter staff uniforms look smart and professional to customers.",2025-09-26,Resources & Equipment
C059,MY059,"System EzPay selalu offline time hujan. Customer bising kena tunggu lama.",0.25,Negative,"The EzPay system often goes offline during rain, causing customers to complain about the wait.",2025-11-24,Technology & Systems
C060,MY060,"Line internet kat branch Sabah selalu putus. Susah nak update tracking.",0.30,Negative,"The internet connection at the Sabah branch disconnects frequently, making it hard to update tracking information.",2025-10-19,Technology & Systems
C061,MY061,"Tools technician cukup. Senang nak repair equipment.",0.85,Positive,"The technician tools are adequate, making it easy to repair equipment.",2025-11-02,Resources & Equipment
C062,MY062,"Penang PPL management supportive. Kalau sakit senang dapat cuti.",0.90,Positive,"Management at Penang PPL is supportive; getting medical leave when sick is straightforward.",2025-10-07,Strategic Management
C063,MY063,"Guard shift malam sunyi sangat. Bagilah radio satu.",0.50,Neutral,"The night guard shift is very quiet. Please provide a radio.",2025-11-06,Resources & Equipment
C064,MY064,"Palang gate guard house manual lagi. Tukar la auto, hujan basah nak bukak.",0.35,Negative,"The guard house gate barrier is still manual. Please upgrade to auto; we get wet opening it in the rain.",2025-10-23,Facilities & Maintenance
C065,MY065,"Team Kedah muafakat membawa berkat. Kerja laju.",0.90,Positive,"The Kedah team works in unity, resulting in fast and blessed work.",2025-09-19,Workplace Culture
C066,MY066,"Supervisor selalu belanja makan. Sayang bos!",0.95,Positive,"My supervisor frequently treats us to meals. We love our boss!",2025-11-14,Workplace Culture
C067,MY067,"Posmen ni hero tak didendang. Panas hujan redah je demi amanah.",0.80,Positive,"Postmen are unsung heroes, braving rain and heat to fulfill their duties.",2025-10-29,Workplace Culture
C068,MY068,"Bunyi mesin sorting bising sangat. Sakit telinga, bagi la earplug quality sikit.",0.25,Negative,"The sorting machine is extremely noisy and hurts my ears; please provide better quality earplugs.",2025-11-20,Health & Safety
C069,MY069,"Training compliance tu bosan, tapi makan sedap.",0.60,Neutral,"The compliance training was boring, but the food provided was delicious.",2025-10-13,Human Resources
C070,MY070,"Admin HQ efficient. Email cepat reply.",0.90,Positive,"The HQ admin team is efficient and replies to emails quickly.",2025-11-07,Strategic Management
C071,MY071,"Duit minyak motor tak cukup cover lah. Petrol naik, claim maintain je.",0.30,Negative,"The motorcycle fuel allowance is insufficient. Petrol prices have risen, but the claim rate remains the same.",2025-12-03,Human Resources
C072,MY072,"Ventilation warehouse teruk. Rasa lemas bila barang penuh.",0.20,Negative,"Warehouse ventilation is poor. It feels suffocating when the storage is full.",2025-11-25,Facilities & Maintenance
C073,MY073,"Habuk kotak ni buat gatal kulit. Provide gloves please.",0.35,Negative,"The dust from the boxes irritates my skin. Please provide gloves.",2025-10-21,Health & Safety
C074,MY074,"Payroll sharp masuk 25hb. Boleh bayar komitmen on time.",0.95,Positive,"Salary is credited promptly on the 25th, allowing me to pay my commitments on time.",2025-11-26,Human Resources
C075,MY075,"Lampu jalan kawasan industri Pahang tu gelap. Rider balik malam bahaya.",0.20,Negative,"The streetlights in the Pahang industrial area are dim, which is dangerous for riders returning at night.",2025-10-06,Health & Safety
C076,MY076,"Target delivery Sarawak tak logik. Rumah sebiji-sebiji jauh kot.",0.35,Negative,"The delivery targets for Sarawak are illogical given the vast distance between houses.",2025-11-18,Operations & Logistics
C077,MY077,"Scanner tak cukup kat Sabah. Kena gilir-gilir, melambatkan kerja.",0.30,Negative,"There are not enough scanners in Sabah. We have to take turns, which slows down operations.",2025-09-29,Resources & Equipment
C078,MY078,"Admin assistant kerja macam robot. Sorang buat kerja 3 orang.",0.30,Negative,"The admin assistant works like a robot, doing the work of three people alone.",2025-11-11,Human Resources
C079,MY079,"Handover shift smooth. Takde barang hilang.",0.85,Positive,"The shift handover process is smooth, with no items going missing.",2025-10-26,Operations & Logistics
C080,MY080,"Pantry bersih. Makcik cleaner memang rajin.",0.90,Positive,"The pantry is clean. The cleaner auntie is very hardworking.",2025-11-22,Facilities & Maintenance
C081,MY081,"Training 'handling difficult customer' tu berguna. Tadi kena maki, aku senyum je.",0.85,Positive,"The 'handling difficult customers' training was useful. I just smiled when I got scolded earlier.",2025-10-03,Human Resources
C082,MY082,"Headset customer service asyik rosak sebelah. Susah nak dengar customer cakap apa.",0.25,Negative,"One side of the customer service headset keeps breaking, making it hard to hear customers.",2025-11-15,Resources & Equipment
C083,MY083,"Jadual servis lori teratur. Jarang breakdown tepi jalan.",0.85,Positive,"The lorry service schedule is well-organized, so roadside breakdowns are rare.",2025-09-24,Operations & Logistics
C084,MY084,"KL jam teruk. Stress menghadap traffic hari-hari.",0.20,Negative,"The traffic jam in KL is terrible. Facing it every day is stressful.",2025-11-27,Operations & Logistics
C085,MY085,"Persiapan banjir Johor mantap. Barang dah letak tempat tinggi.",0.90,Positive,"Flood preparations in Johor are solid. Goods have already been moved to higher ground.",2025-11-30,Health & Safety
C086,MY086,"Cat dinding luar pejabat Kedah dah lumut. Nampak buruk la Pos Malaysia.",0.30,Negative,"The exterior paint of the Kedah office is mossy, reflecting poorly on Pos Malaysia's image.",2025-10-08,Facilities & Maintenance
C087,MY087,"Business analyst kerja challenging, tapi puas hati bila solve problem.",0.80,Positive,"The Business Analyst role is challenging, but solving problems brings great satisfaction.",2025-11-12,Human Resources
C088,MY088,"Melaka town susah parking lori. Jalan sempit, pelancong ramai.",0.40,Neutral,"It is difficult to park lorries in Melaka town due to narrow roads and many tourists.",2025-10-24,Operations & Logistics
C089,MY089,"Tempat tidur driver lori tilam keras kejung. Sakit badan bangun tidur.",0.20,Negative,"The mattress in the lorry driver's sleeping area is rock hard, causing body aches upon waking.",2025-11-05,Facilities & Maintenance
C090,MY090,"Store barang dah kemas sikit. Senang cari supplies.",0.75,Positive,"The supply store is tidier now, making it easier to find items.",2025-10-18,Facilities & Maintenance
C091,MY091,"Approval purchasing lambat gila. Nak beli kertas A4 pun tunggu sebulan.",0.20,Negative,"Purchasing approval is incredibly slow. Even buying A4 paper takes a month.",2025-11-21,Operations & Logistics
C092,MY092,"Geng posmen sini support each other. Kalau motor rosak, ramai datang tolong.",0.90,Positive,"The postmen here support each other. If a motorcycle breaks down, many come to help.",2025-09-23,Workplace Culture
C093,MY093,"Perlis branch kecik tapi padu. Service tiptop.",0.90,Positive,"The Perlis branch is small but excellent. The service is top-notch.",2025-11-08,Operations & Logistics
C094,MY094,"Interview process laju. Tak payah tunggu lama-lama.",0.85,Positive,"The interview process was fast; there was no need to wait long.",2025-10-14,Human Resources
C095,MY095,"Parking KL mahal weh. Kena saman DBKL company tak nak bayar pulak.",0.25,Negative,"Parking in KL is expensive, and the company refuses to pay for DBKL fines incurred.",2025-11-28,Human Resources
C096,MY096,"Office Putrajaya moden. Selesa nak buat kerja.",0.90,Positive,"The Putrajaya office is modern and provides a comfortable working environment.",2025-09-27,Facilities & Maintenance
C097,MY097,"Kotak Shopee tajam-tajam. Tangan luka, bagi la glove tebal sikit.",0.30,Negative,"Shopee boxes have sharp edges causing hand cuts. Please provide thicker gloves.",2025-11-16,Health & Safety
C098,MY098,"Campaign marketing menjadi. Ramai orang hantar parcel bulan ni.",0.85,Positive,"The marketing campaign is working; many people are sending parcels this month.",2025-10-31,Sales & Marketing
C099,MY099,"Musim hujan ni, rider Pahang need kasut boot getah. Kasut basah busuk weh.",0.40,Neutral,"During this rainy season, Pahang riders need rubber boots. Wet shoes smell terrible.",2025-12-04,Resources & Equipment
C100,MY100,"Safety briefing setiap pagi bagus. Ingatkan kita pasal keluarga kat rumah.",0.90,Positive,"The daily morning safety briefing is good; it reminds us of our families waiting at home.",2025-11-09,Health & Safety
